inp,100,300,500,700,900,1100,1300,1500,1700,1900
166,3.2,3.44,3.96,3.63,3.88,3.81,5.83,6.07,3.96,4.53
167,4.68,4.2,3.96,4.02,6.28,3.2,3.9,4.06,3.51,6.04
168,3.8,3.65,4.12,4.12,3.3,4.12,3.97,5.81,4.04,4.43
169,4.54,4.12,4.81,4.27,4.23,4.13,3.98,5.17,3.72,3.72
170,3.81,4.24,4.4,4.02,3.6,3.74,4.38,3.64,3.6,3.78
171,3.19,4.25,4.38,3.23,3.6,4.63,3.68,4.35,4.08,3.19
172,3.37,3.89,3.2,3.24,3.84,3.58,5.86,3.68,3.24,6.13
173,4.91,4.49,4.08,4.22,3.88,4.36,4.06,3.85,4.25,4.08
174,6.54,6.53,1.45,1.92,1.58,1.7,5.04,4.47,2.25,2.49
175,4.32,2.71,6.17,2.24,2.91,1.27,2.24,2.02,1.27,2.0
176,1.44,2.68,1.99,2.24,1.44,1.27,1.27,1.9,1.99,1.99
177,2.45,1.27,5.28,4.99,1.82,1.85,1.43,1.27,1.68,1.27
178,6.47,1.92,3.63,3.29,1.43,2.44,3.63,2.22,3.97,3.67
179,1.56,1.84,2.69,1.52,6.42,6.43,6.42,3.8,6.42,2.1
180,4.28,1.96,1.96,6.4,2.2,3.61,1.96,6.39,1.26,6.4
181,1.66,1.95,3.48,3.77,1.25,3.48,2.86,1.41,2.65,2.62
182,1.54,4.54,1.65,1.25,1.25,3.17,3.96,2.53,2.4,2.18
183,6.3,6.25,6.33,6.33,6.3,5.49,6.19,6.31,6.24,6.19
184,6.09,6.26,5.6,6.04,6.25,6.27,6.04,6.28,5.71,5.19
185,6.3,6.3,5.84,6.09,5.61,6.09,5.84,6.03,6.01,6.26
186,5.7,6.01,6.24,5.37,6.04,5.65,5.6,5.59,5.61,6.04
187,6.15,5.57,5.59,6.23,6.0,6.19,6.17,6.14,5.59,5.93
188,6.23,6.18,6.13,6.07,6.17,6.2,6.21,6.17,5.98,6.04
189,5.96,6.13,6.13,6.16,5.77,5.61,6.13,5.96,6.07,6.08
190,5.56,5.69,4.89,5.48,3.97,3.62,5.33,5.56,4.67,4.22
191,1.23,3.43,3.51,3.8,3.51,6.1,6.08,3.77,3.54,4.57
192,3.91,1.23,6.09,3.01,6.09,6.11,6.13,5.99,6.07,1.23
193,2.59,1.23,2.15,2.12,1.23,1.62,1.23,1.5,1.38,1.23
194,1.22,3.74,1.61,1.22,1.37,2.92,1.46,2.96,3.95,1.5
195,3.04,1.22,1.61,1.5,2.13,1.98,3.74,2.72,3.49,1.61
196,5.0,3.72,4.39,3.49,1.22,3.4,5.06,4.48,1.22,2.62
197,2.03,3.39,3.8,3.71,2.16,3.72,3.87,3.47,3.46,1.92
198,1.64,2.4,2.26,4.21,2.16,1.64,1.64,1.92,1.86,2.0
199,2.87,2.51,2.39,1.23,1.39,2.66,1.23,3.2,1.87,1.92
200,1.38,2.29,1.62,4.28,2.02,2.52,1.51,1.23,4.26,1.63
